,"Lat,Lng"
0,"15.5494,73.7535"
1,"15.4923,73.7737"
2,"15.4954,73.8275"
3,"15.3144375,74.3117324"
4,"15.5733,73.741"
5,"15.6046375,73.7343882"
6,"15.6163537,73.6113366"
7,"15.5008238,73.9088312"
8,"15.5553,73.7517"
9,"15.0194835,73.9990261"
10,"15.5250557,73.8618917"
11,"15.5461437,73.7546107"
12,"15.4545087,73.8026635"
13,"15.6847,73.7033"
14,"15.5952,73.7515"
15,"15.4924706,73.8272488"
16,"15.4986,73.8294"
17,"15.5563188,73.7505863"
18,"15.5613,73.7495"
19,"15.5561084,73.7495845"
20,"15.5140754,73.7806067"
21,"15.572076,73.7398156"
22,"15.01,74.0232"
23,"15.5666501,73.7613759"
24,"15.2805,73.912"
25,"15.6272,73.7279"
26,"15.5014056,73.8244594"
27,"15.0456,73.9889"
28,"15.518,73.7626"
29,"15.5039,73.9122"
30,"15.1715,73.9415"
31,"14.9969,74.0335"
32,"15.291913,73.907874"
33,"15.7213859,73.6839679"
34,"15.3527,73.7779"
35,"15.3778485,74.1473914"
36,"15.5510768,74.0240768"
37,"15.3339015,74.2883536"
38,"15.5055969,73.9124674"
39,"15.4522,73.8487"
40,"15.4295587,74.0098742"
41,"15.4390499,74.2499822"
42,"15.5031218,73.9086349"
43,"15.1018565,73.9254141"
44,"15.5005,73.9065"
45,"15.4934357,73.9979363"
46,"15.6467,73.7166"
